Original_Field_Name,Tableau_Field_Name,Data_Type,Table_Name,Table_Reference_SQL,Used_In_Workbook,Type,Calculation_Formula
[away_coach],[away_coach],Unknown,Unknown,[away_coach].[away_coach],No,Column,
[away_moneyline],[away_moneyline],Unknown,Unknown,[away_moneyline].[away_moneyline],No,Column,
[away_qb_id],[away_qb_id],Unknown,Unknown,[away_qb_id].[away_qb_id],No,Column,
[away_qb_name],[away_qb_name],Unknown,Unknown,[away_qb_name].[away_qb_name],No,Column,
[away_rest],[away_rest],Unknown,Unknown,[away_rest].[away_rest],No,Column,
[away_score],[away_score],Unknown,Unknown,[away_score].[away_score],No,Column,
[away_spread_odds],[away_spread_odds],Unknown,Unknown,[away_spread_odds].[away_spread_odds],No,Column,
[away_team],[away_team],Unknown,Unknown,[away_team].[away_team],No,Column,
[created_date (nfl_teams)],[created_date (nfl_teams)],Unknown,Unknown,[created_date (nfl_teams)].[created_date (nfl_teams)],No,Column,
[created_date],[created_date],Unknown,Unknown,[created_date].[created_date],No,Column,
[div_game],[div_game],Unknown,Unknown,[div_game].[div_game],No,Column,
[espn],[espn],Unknown,Unknown,[espn].[espn],No,Column,
[ftn],[ftn],Unknown,Unknown,[ftn].[ftn],No,Column,
[game_id],[game_id],Unknown,Unknown,[game_id].[game_id],No,Column,
[game_type],[game_type],Unknown,Unknown,[game_type].[game_type],No,Column,
[gameday],[gameday],Unknown,Unknown,[gameday].[gameday],No,Column,
[gametime],[gametime],Unknown,Unknown,[gametime].[gametime],No,Column,
[gsis],[gsis],Unknown,Unknown,[gsis].[gsis],No,Column,
[home_coach],[home_coach],Unknown,Unknown,[home_coach].[home_coach],No,Column,
[home_moneyline],[home_moneyline],Unknown,Unknown,[home_moneyline].[home_moneyline],No,Column,
[home_qb_id],[home_qb_id],Unknown,Unknown,[home_qb_id].[home_qb_id],No,Column,
[home_qb_name],[home_qb_name],Unknown,Unknown,[home_qb_name].[home_qb_name],No,Column,
[home_rest],[home_rest],Unknown,Unknown,[home_rest].[home_rest],No,Column,
[home_score],[home_score],Unknown,Unknown,[home_score].[home_score],No,Column,
[home_spread_odds],[home_spread_odds],Unknown,Unknown,[home_spread_odds].[home_spread_odds],No,Column,
[home_team],[home_team],Unknown,Unknown,[home_team].[home_team],No,Column,
[id],[id],Unknown,Unknown,[id].[id],No,Column,
[location],[location],Unknown,Unknown,[location].[location],No,Column,
[nfl_detail_id],[nfl_detail_id],Unknown,Unknown,[nfl_detail_id].[nfl_detail_id],No,Column,
[old_game_id],[old_game_id],Unknown,Unknown,[old_game_id].[old_game_id],No,Column,
[over_odds],[over_odds],Unknown,Unknown,[over_odds].[over_odds],No,Column,
[overtime],[overtime],Unknown,Unknown,[overtime].[overtime],No,Column,
[pff],[pff],Unknown,Unknown,[pff].[pff],No,Column,
[pfr],[pfr],Unknown,Unknown,[pfr].[pfr],No,Column,
[referee],[referee],Unknown,Unknown,[referee].[referee],No,Column,
[result],[result],Unknown,Unknown,[result].[result],No,Column,
[roof],[roof],Unknown,Unknown,[roof].[roof],No,Column,
[season],[season],Unknown,Unknown,[season].[season],No,Column,
[spread_line],[spread_line],Unknown,Unknown,[spread_line].[spread_line],No,Column,
[stadium],[stadium],Unknown,Unknown,[stadium].[stadium],No,Column,
[stadium_id],[stadium_id],Unknown,Unknown,[stadium_id].[stadium_id],No,Column,
[surface],[surface],Unknown,Unknown,[surface].[surface],No,Column,
[team_abbr],[team_abbr],Unknown,Unknown,[team_abbr].[team_abbr],No,Column,
[team_color2],[team_color2],Unknown,Unknown,[team_color2].[team_color2],No,Column,
[team_color3],[team_color3],Unknown,Unknown,[team_color3].[team_color3],No,Column,
[team_color4],[team_color4],Unknown,Unknown,[team_color4].[team_color4],No,Column,
[team_color],[team_color],Unknown,Unknown,[team_color].[team_color],No,Column,
[team_conf],[team_conf],Unknown,Unknown,[team_conf].[team_conf],No,Column,
[team_conference_logo],[team_conference_logo],Unknown,Unknown,[team_conference_logo].[team_conference_logo],No,Column,
[team_division],[team_division],Unknown,Unknown,[team_division].[team_division],No,Column,
[team_id],[team_id],Unknown,Unknown,[team_id].[team_id],No,Column,
[team_league_logo],[team_league_logo],Unknown,Unknown,[team_league_logo].[team_league_logo],No,Column,
[team_logo_espn],[team_logo_espn],Unknown,Unknown,[team_logo_espn].[team_logo_espn],No,Column,
[team_logo_squared],[team_logo_squared],Unknown,Unknown,[team_logo_squared].[team_logo_squared],No,Column,
[team_logo_wikipedia],[team_logo_wikipedia],Unknown,Unknown,[team_logo_wikipedia].[team_logo_wikipedia],No,Column,
[team_name],[team_name],Unknown,Unknown,[team_name].[team_name],No,Column,
[team_nick],[team_nick],Unknown,Unknown,[team_nick].[team_nick],No,Column,
[team_wordmark],[team_wordmark],Unknown,Unknown,[team_wordmark].[team_wordmark],No,Column,
[temp],[temp],Unknown,Unknown,[temp].[temp],No,Column,
[total],[total],Unknown,Unknown,[total].[total],No,Column,
[total_line],[total_line],Unknown,Unknown,[total_line].[total_line],No,Column,
[under_odds],[under_odds],Unknown,Unknown,[under_odds].[under_odds],No,Column,
[updated_date (nfl_teams)],[updated_date (nfl_teams)],Unknown,Unknown,[updated_date (nfl_teams)].[updated_date (nfl_teams)],No,Column,
[updated_date],[updated_date],Unknown,Unknown,[updated_date].[updated_date],No,Column,
[week],[week],Unknown,Unknown,[week].[week],No,Column,
[weekday],[weekday],Unknown,Unknown,[weekday].[weekday],No,Column,
[wind],[wind],Unknown,Unknown,[wind].[wind],No,Column,
away_coach,away_coach,string,nfl_games,nfl_games.away_coach as away_coach,No,Column,
away_moneyline,away_moneyline,real,nfl_games,nfl_games.away_moneyline as away_moneyline,No,Column,
away_qb_id,away_qb_id,string,nfl_games,nfl_games.away_qb_id as away_qb_id,No,Column,
away_qb_name,away_qb_name,string,nfl_games,nfl_games.away_qb_name as away_qb_name,No,Column,
